country,group,query,avg_interest_0_100,n_weeks
AE,meeting_tools,"meeting notes",2.7,262
AE,meeting_tools,"Otter.ai",0.8,262
AE,meeting_tools,"Read.ai",1.0,262
AE,meeting_tools,"Fireflies.ai",0.2,262
AE,ai_adoption,"ChatGPT",30.3,262
AE,ai_adoption,"AI agent",0.1,262
AE,ai_adoption,"Claude AI",0.3,262
AE,knowcap_adj,"Odoo",52.9,262
AE,knowcap_adj,"scope creep",0.0,262
AE,knowcap_adj,"client portal",0.6,262
AE,doc_pain,"SOP template",0.1,262
AE,doc_pain,"project documentation",5.9,262
AE,doc_pain,"client report",1.3,262
SA,meeting_tools,"ERROR",,0
SA,ai_adoption,"ChatGPT",28.8,262
SA,ai_adoption,"AI agent",0.1,262
SA,ai_adoption,"Claude AI",0.5,262
SA,knowcap_adj,"Odoo",49.2,262
SA,knowcap_adj,"scope creep",0.1,262
SA,knowcap_adj,"client portal",0.0,262
SA,doc_pain,"SOP template",0.1,262
SA,doc_pain,"project documentation",5.9,262
SA,doc_pain,"client report",1.5,262
EG,meeting_tools,"meeting notes",1.7,262
EG,meeting_tools,"Otter.ai",0.6,262
EG,meeting_tools,"Read.ai",0.5,262
EG,meeting_tools,"Fireflies.ai",0.4,262
EG,ai_adoption,"ChatGPT",27.5,262
EG,ai_adoption,"AI agent",0.1,262
EG,ai_adoption,"Claude AI",0.7,262
EG,knowcap_adj,"Odoo",57.2,262
EG,knowcap_adj,"scope creep",0.0,262
EG,knowcap_adj,"client portal",0.0,262
EG,doc_pain,"SOP template",0.2,262
EG,doc_pain,"project documentation",4.0,262
EG,doc_pain,"client report",0.7,262
JO,meeting_tools,"meeting notes",0.4,262
JO,meeting_tools,"Otter.ai",0.0,262
JO,meeting_tools,"Read.ai",0.0,262
JO,meeting_tools,"Fireflies.ai",0.0,262
JO,ai_adoption,"ChatGPT",32.1,262
JO,ai_adoption,"AI agent",0.1,262
JO,ai_adoption,"Claude AI",0.5,262
JO,knowcap_adj,"Odoo",25.8,262
JO,knowcap_adj,"scope creep",0.0,262
JO,knowcap_adj,"client portal",0.2,262
JO,doc_pain,"SOP template",0.3,262
JO,doc_pain,"project documentation",2.2,262
JO,doc_pain,"client report",0.0,262
KW,meeting_tools,"meeting notes",0.8,262
KW,meeting_tools,"Otter.ai",0.5,262
KW,meeting_tools,"Read.ai",0.7,262
KW,meeting_tools,"Fireflies.ai",0.0,262
KW,ai_adoption,"ChatGPT",28.7,262
KW,ai_adoption,"AI agent",0.1,262
KW,ai_adoption,"Claude AI",0.3,262
KW,knowcap_adj,"Odoo",39.2,262
KW,knowcap_adj,"scope creep",0.0,262
KW,knowcap_adj,"client portal",0.4,262
KW,doc_pain,"SOP template",0.3,262
KW,doc_pain,"project documentation",0.7,262
KW,doc_pain,"client report",0.6,262
QA,meeting_tools,"meeting notes",0.0,262
QA,meeting_tools,"Otter.ai",0.4,262
QA,meeting_tools,"Read.ai",0.2,262
QA,meeting_tools,"Fireflies.ai",0.4,262
QA,ai_adoption,"ChatGPT",22.9,262
QA,ai_adoption,"AI agent",0.0,262
QA,ai_adoption,"Claude AI",0.2,262
QA,knowcap_adj,"Odoo",34.4,262
QA,knowcap_adj,"scope creep",0.2,262
QA,knowcap_adj,"client portal",0.0,262
QA,doc_pain,"SOP template",0.0,262
QA,doc_pain,"project documentation",1.3,262
QA,doc_pain,"client report",0.0,262
LB,meeting_tools,"meeting notes",0.8,262
LB,meeting_tools,"Otter.ai",0.0,262
LB,meeting_tools,"Read.ai",0.3,262
LB,meeting_tools,"Fireflies.ai",0.4,262
LB,ai_adoption,"ChatGPT",32.1,262
LB,ai_adoption,"AI agent",0.1,262
LB,ai_adoption,"Claude AI",0.6,262
LB,knowcap_adj,"Odoo",42.6,262
LB,knowcap_adj,"scope creep",0.1,262
LB,knowcap_adj,"client portal",0.2,262
LB,doc_pain,"SOP template",0.3,262
LB,doc_pain,"project documentation",0.5,262
LB,doc_pain,"client report",0.3,262
MA,meeting_tools,"meeting notes",0.4,262
MA,meeting_tools,"Otter.ai",0.7,262
MA,meeting_tools,"Read.ai",0.3,262
MA,meeting_tools,"Fireflies.ai",0.0,262
MA,ai_adoption,"ChatGPT",33.6,262
MA,ai_adoption,"AI agent",0.0,262
MA,ai_adoption,"Claude AI",0.6,262
MA,knowcap_adj,"Odoo",53.8,262
MA,knowcap_adj,"scope creep",0.0,262
MA,knowcap_adj,"client portal",0.1,262
MA,doc_pain,"SOP template",0.1,262
MA,doc_pain,"project documentation",2.3,262
MA,doc_pain,"client report",0.5,262
