country,seed_query,top_term,top_value
AE,"meeting notes","ai meeting notes",100
AE,"meeting notes","meeting notes template",19
AE,"meeting notes","zoom meeting",16
AE,"meeting notes","meeting life challenges class 12 notes",16
AE,"meeting notes","read.ai meeting notes",15
AE,"meeting notes","read.ai meeting notes in teams",8
AE,"meeting notes","otter ai",5
AE,"meeting notes","fireflies ai",5
SA,"meeting notes","ai meeting notes",100
SA,"meeting notes","read.ai meeting notes",21
SA,"meeting notes","meeting notes template",13
SA,"meeting notes","read ai meeting notes",13
SA,"meeting notes","read.ai meeting notes in teams",6
SA,"meeting notes","read ai meeting notes in teams",3
EG,"meeting notes","meeting notes template",100
EG,"meeting notes","read.ai meeting notes",98
EG,"meeting notes","read ai meeting notes in teams",45
QA,"meeting notes","meeting notes template",100
