country,seed_query,rising_term,rising_value
AE,"meeting notes","read.ai meeting notes",418050
AE,"meeting notes","read.ai meeting notes in teams",211950
AE,"meeting notes","otter ai",130350
AE,"meeting notes","fireflies ai",126150
AE,"meeting notes","ai meeting notes",1050
AE,"meeting notes","meeting life challenges class 12 notes",90
AE,"meeting notes","zoom meeting",80
SA,"meeting notes","ai meeting notes",3011100
SA,"meeting notes","read ai meeting notes",377200
SA,"meeting notes","read.ai meeting notes in teams",183200
SA,"meeting notes","read ai meeting notes in teams",77250
EG,"meeting notes","read.ai meeting notes",686750
EG,"meeting notes","read ai meeting notes in teams",316250
