query,video_id,channel_title,title,view_count,published_at
"Odoo Saudi Arabia","wCiXnCg4Z8Y","Odoo Tutorials","ZATCA E-Invoicing Integration in Odoo19 | Saudi Arabia VAT Compliance | സൗദി അറേബ്യ ഇ-ഇൻവോയ്‌സിങ്",1553,"2025-12-06"
"Odoo Saudi Arabia","UUTjRagDkis","Apagen Solutions Pvt. Ltd.","Odoo Demo - Saudi VAT Invoice  | Apagen Solutions Pvt. Ltd. (Odoo Service Provider)",671,"2021-01-08"
"Odoo Saudi Arabia","hFdKw6rd-tk","HMPRO","Zatca Saudi Arabia - E-invoicing Fixes for Odoo",724,"2025-09-15"
"Odoo Saudi Arabia","3TIc_7Te6jE","Odoo Tutorials","ZATCA Phase 2 Integration Saudi Arabia in Odoo19 Explained | Odoo Tutorials Malayalam",288,"2026-02-27"
"Odoo Saudi Arabia","VMsZ7zUMn5E","Technaureus Info Solutions Pvt. Ltd.","Odoo MyFatoorah Mada Payment Gateway Integration | Saudi Arabia Mada Payment in Odoo",457,"2025-07-30"
"Odoo Saudi Arabia","cTE4T31qhvo","Odoo Mates","Enable Saudi Arabia ZATCA  E-Invoicing  In Odoo | Free ZATCA POS software | Zakat Billing Software",13277,"2021-11-30"
"Odoo Saudi Arabia","MHryEp5wqOg","HMPRO","Saudization & Nitaqat Compliance Tracker – Odoo KSA",80,"2025-09-23"
"Odoo Saudi Arabia","c3BHRcBMR1U","Sharek","كيف تربط Odoo مع هيئة الضرائب ZATCA في السعودية ؟",1580,"2025-12-11"
"Odoo UAE implementation","hqqzVpqCe24","Webkul","7 Steps for Successful Odoo Implementation",1391,"2025-02-03"
"Odoo UAE implementation","7h1BSpEUhlE","Glorium Technologies","Odoo Pricing: What is the Real Odoo Implementation Cost?",35540,"2025-06-03"
"Odoo UAE implementation","GjER--Dy8qI","Odoo","From Kickoff to Go-Live: Managing an Odoo ERP Project Implementation on Odoo 19",2242,"2025-11-18"
"Odoo UAE implementation","HsZ85jgdcm8","Techbot","Odoo 19: Digital Transformation, Automation & E-Invoicing for UAE Businesses",142,"2025-11-06"
"Odoo UAE implementation","RI2l5VWSCK4","ODOO IT YOURSELF","Five Different Ways to Approach Your Odoo Implementation",1185,"2023-10-28"
"Odoo UAE implementation","6_nxcQoO5rE","Odoo ERP by O2B Technologies Experts","How to Quickstart Your Odoo ERP Implementation | Step-by-Step Guide – O2B Technologies",12297,"2022-11-16"
"Odoo UAE implementation","QuC6rc2q2mg","ODOO IT YOURSELF","Odoo Beginner's Guide",153355,"2025-07-03"
"Odoo UAE implementation","axwx1kmHCtQ","Learn with Tauseef Ahmed","Odoo ERP Pricing Explained | Hosting, Implementation & Licensing Cost (Complete Guide 2025/2026)",251,"2025-12-11"
"Odoo Egypt","lAYZ1-Ac2nQ","Odoo Arabic","Agile Business Transformation: Mimar Models Egypt & Odoo",119,"2026-04-01"
"Odoo Egypt","6kdlJrLXwRA","Waleed Maestro","Egyptian E-Invoice + Odoo: The Only Complete Integration Tutorial You Need!",3052,"2024-08-11"
"Odoo Egypt","EddDhIpA5F0","Yehia Tech يحيى تك","ايه هو نظام Odoo ؟ 🟣🙄",157637,"2024-01-17"
"Odoo Egypt","Un0GJ7FhqvU","B Smart Odoo Egypt","0151ربط الايصال الالكتروني بمصر باودو   ETA POS Electronic Receipt Egypt Odoo",306,"2025-10-24"
"Odoo Egypt","LTEzZfRxQ8E","Techstation Egypt","Create Odoo on Our Platform in Under 2 Minutes",33,"2025-09-08"
"Odoo Egypt","6GOkRhedFzs","TechnoFunctionalLearning","Demo Odoo ERP 18 (Open Source):CRM App on Android Mobile with Local PostgreSQL Database",195773,"2025-05-19"
"Odoo Egypt","u7UZWSaYNJ8","Software Connect","Odoo vs. Zoho One (2026) Which One Actually Works for Your Business?",48424,"2025-04-11"
"Odoo Egypt","JlAWsEWeU6w","Odoo","Webinar - Launch your online store with Odoo",1561,"2026-03-26"
"SME owner Dubai","9IjeJnaImps","Dubai Chambers ","Dubai Business Growth -- SME Finance",610,"2012-11-06"
"SME owner Dubai","RneaUL-xdlE","Jitendra Consulting Group","Benefits of Hiring Audit Firms in Dubai for Startups & SMEs",17,"2022-07-05"
"SME owner Dubai","8h1cGXdrlmo","Crunch DUBAI","Dubai SME, Ms. Rania Sheir has 15 years of experience there! Monologue at 24SIX9 Founders Community",539,"2024-06-29"
"SME owner Dubai","brTYR1ubmKk","GLOBALS tv","Why doing business in Dubai? Dubai SME CEO",153,"2019-02-27"
"SME owner Dubai","IKxl3fGl5a4","Vision.ae","Dubai Means Business - SME",285,"2014-10-23"
"SME owner Dubai","TTFrxe9w-OM","Danube Properties","Our Founder and Chairman, Mr. Rizwan Sajan welcomes Mr.  H.E Abdul Baset Al Janahi, CEO Dubai SME",1330,"2024-06-04"
"SME owner Dubai","8xZ3QoDi-kE","Middle East Bulletin","Sabir Shaikh Wins Outstanding Leader Award for SME Empowerment at Masterminds  | UAE Business Growth",78,"2025-06-25"
"SME owner Dubai","vnEECrDuFts","SME District","CEO of SME District & Hashtag Department Store Intreview WIth Dubai One Tv",46,"2023-10-09"
"business owner Saudi","TTKLKJ5V5cQ","Ali Gul Chandio ","Start Your Business in Saudi Arabia with 100% Ownership| Kia ap company kholna chahty hen saudia me ",2333,"2026-04-04"
"business owner Saudi","9E2b2ynS2Eg","Zayan Perdasi ","Can you really make that much money in the trolley business in Saudi Arabia? This trolley driver won",265888,"2025-09-25"
"business owner Saudi","Yz1mKUYWtFo","5 Ideas","🇸🇦 5 Small Business Ideas for Saudi Arabia | Profitable Business In Saudi Arabia",77579,"2023-06-14"
"business owner Saudi","vj0GZWq6tyo","Ahmad Mushtaq","What kind of business you can start as a foreigner in Saudi Arabia? #MISA #SAGIA #KSA",18751,"2021-08-25"
"business owner Saudi","UwOkNamcrWA","Beesolv","Amazon Saudi Arabia Sourcing #amazon #ecommerce #business #viral #reels #pakistan #saudiarabia",46926,"2024-04-03"
"business owner Saudi","1GswLfB_HAs","My life In Saudi Arabia ","Start Business in Saudi Arabia CR & LLC Guide 2025",11622,"2025-06-15"
"business owner Saudi","TqGBzax5cSg","Shakeel Ahmad Meer","Real Estate Business Secrets - Riyadh Saudi Arabia | Shakeel Ahmad Meer",8357,"2025-08-07"
"business owner Saudi","w3s87zlXA_4","Import Export with Usman","🤑 Low INVESMENT Starting from restaurant business in Saudia Arabia",17779,"2025-04-10"
"consulting agency Dubai","plZP6IxyaqY","Shiraz Waheed - SetupHero","How to Start a Consulting Business in Dubai (Step-by-Step 2025)",361,"2025-12-15"
"consulting agency Dubai","WWEgL466x9E","Aimdubai24 ","DIRECT JOBS IN DUBAI 2025-2026 through placement consultant #dubaijobs",347380,"2023-06-24"
"consulting agency Dubai","vyffDh38zgU","Saeed Shah","top recruitment agencies  in Dubai | jobs in Dubai | Saeed shah",2899,"2025-02-27"
"consulting agency Dubai","YQQHAMSLcrc","Gulf Country Job","""Dubai Mall is Hiring NOW – 200+ Vacancies! 🚀"" #dubaijobs #jobsindubai #uaejobs #shorts",426956,"2025-06-10"
"consulting agency Dubai","vZE0j_WCRvI","Good Work","What does a consultant actually do?",2533007,"2023-03-08"
"consulting agency Dubai","D28BTlOa7Cs","DXB Helpdesk","Best Consultancy in Dubai for Europe. Europe country Work Visa. how to go European countries for Job",10331,"2025-01-17"
"consulting agency Dubai","PzQuyTS6rCE","The Thinksters - Career in Management consulting","Dubai consulting market – opportunities & salaries in 2025",1460,"2025-03-13"
"consulting agency Dubai","gg9jncbu14g","Murrad on Run","Getting a Management Consulting job in Dubai (Highest Paid Job in Dubai)",26502,"2025-04-16"
"أودو السعودية","qzdnIG4VBRc","E-Accounting & ERP","كل اللى محتاج تعرفه عن  نظام  Odoo و التعريف بالنظام الحلقه الأولى",623276,"2023-01-03"
"أودو السعودية","9w20xqiYsG0","Naqlah Technology Consulting","ما هو نظام Odoo - تعريف",52773,"2024-08-08"
"أودو السعودية","5yY_KMBM03o","putcodes","أشتغلت Odoo Developer في السعودية | تطوير Odoo و ERP للمبرمجين 💼🇸🇦",4566,"2025-06-15"
"أودو السعودية","efjAz1IqLhI","Kaizen principles","ERP افضل برنامج اودو في السعودية من شركة كايزن",719,"2022-12-31"
"أودو السعودية","4hTgxJR5qmo","غريب الشيخ || Ghareeb Elshaikh","إنشاء شركة من الصفر باستخدام أودو فقط - Odoo",33114,"2025-07-22"
"أودو السعودية","-RzXpPYAeog","E-Accounting & ERP","ادخال القيود اليومية Journal entries - برنامج Odoo  الحلقة الرابعة",158010,"2023-02-05"
