country,filter,count,timestamp
UAE,total,200,000,1780330575
UAE,size_11-50,30,000,1780330586
UAE,size_51-200,10,000,1780330599
UAE,size_201-500,3,800,1780330611
KSA,total,80,000,1780330622
KSA,size_11-50,10,000,1780330634
KSA,size_51-200,7,500,1780330646
KSA,size_201-500,2,500,1780330657
Egypt,total,80,000,1780330670
Egypt,size_11-50,10,000,1780330682
Egypt,size_51-200,6,200,1780330693
Egypt,size_201-500,2,300,1780330705
Jordan,total,NO_MATCH,1780330715
Jordan,size_11-50,NO_MATCH,1780330725
Jordan,size_51-200,NO_MATCH,1780330735
Jordan,size_201-500,NO_MATCH,1780330744
Kuwait,total,NO_MATCH,1780330754
Kuwait,size_11-50,NO_MATCH,1780330764
Kuwait,size_51-200,NO_MATCH,1780330773
Kuwait,size_201-500,NO_MATCH,1780330782
Qatar,total,20,000,1780330793
Qatar,size_11-50,3,400,1780330805
Qatar,size_51-200,1,500,1780330816
Qatar,size_201-500,644,1780330828
Lebanon,total,20,000,1780330840
Lebanon,size_11-50,2,200,1780330851
Lebanon,size_51-200,780,1780330862
Lebanon,size_201-500,280,1780330874
Morocco,total,50,000,1780330886
Morocco,size_11-50,4,800,1780330898
Morocco,size_51-200,1,700,1780330910
Morocco,size_201-500,792,1780330921
