video_id,channel_title,category,matched_term,text_snippet,like_count
"wCiXnCg4Z8Y","Odoo Tutorials","odoo","Odoo","ക്യാഷ് റൗണ്ടിംഗ് ഡിഫോൾട്ട് ആയി സെറ്റ് ചെയ്യാൻ പറ്റുന്നില്ല...ഓരോ ബില്ലും ചെയ്യേണ്ടി വരുന്നു..odoo 18",1
"cTE4T31qhvo","Odoo Mates","odoo","Odoo","For Odoo 13 and below, download and use our free module from odoo store.  Odoo 13: https://apps.odoo.com/apps/modules/13.0/om_sa_invoice/ Odoo 12: https://apps.odoo.com/apps/modules/12.0/om_sa_invoice/ Odoo 11: https://apps.odoo.com/apps/modules/11.0/om_sa_invoice/ Odoo 10: https://apps.odoo.com/app",0
"cTE4T31qhvo","Odoo Mates","odoo","Odoo","HI hOW can i embed xml with custom invoice in odoo?",0
"cTE4T31qhvo","Odoo Mates","odoo","Odoo","Thank you for providing valuable tutorials. I found one issue with the Odoo QR Code. I have some Invoices with Retention so I set two taxes for a product. For example, for one product there will be VAT tax of 15% and a Retention of 5% and I set the Retention as -5%. In the subtotal, it shows correct",1
"hqqzVpqCe24","Webkul","odoo","Odoo","https://webkul.com/odoo-implementation-services/",0
"hqqzVpqCe24","Webkul","odoo","Odoo","Which Odoo module is best for MBA finance students to learn and use in their jobs etc  ?  Any best answer please  ?",0
"GjER--Dy8qI","Odoo","odoo","Odoo","Hi Odoo Team, where can I get steps to do Odoo implementation process as technically?",1
"RI2l5VWSCK4","ODOO IT YOURSELF","odoo","Odoo","Your videos are super valuable, thank you!  It would be great to hear some advice for aspiring self starters wanting to get into the Odoo dev game. What to look out for and risks and opportunities. Where would you start your business as a one man team with a PC, Internet and a moderate knowledge of ",1
"RI2l5VWSCK4","ODOO IT YOURSELF","odoo","Odoo","End user here. Been trying to learn Odoo for 7 months now. I had NO idea it would be this impossibly difficultz",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","If you're watching this and thinking 'I'd rather just have someone set this up for me', I get it. I put together three ways I can help depending on where you're at → https://www.odooityourself.com/r/ZQN",2
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","ERP","Would this essentially replace the need for bigger ERP solutions for small businesses?   For App like inventory, would someone still have to book every inventory movement manually into a terminal with browser?  Could a Handscanner or forklift be made to interface to it while not connected to a sit d",2
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","In the free account if one is using Odoo Accounting module only, does it restrict any features.",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","very much helpful, you have explained everything so easily, one quick question, can we make Odoo for (Multi-company, multi-currency)",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","How do you see the path and barriers of starting de odoo journey to become a partner, what do you think about the industry given the actual technology tools that ease the technical challenges",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","Thanks for this. Great video. You said that Odoo doesn't do payroll but if I Google ""does Odoo have payroll?"" it seems that it does? My wife an I are setting up a two person small retail business. We don't need complexity. It sounds like a vanilla out of the box Odoo setup might work for us? Though ",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","excellent info bro in a very short time. Does Odoo support production ?",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","Thank you, very helpful . my questions are is Odoo good for small business start-ups and is the application free ?",2
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","I want to market nursing ceus to nurses. So, I need a way to accept payments and issue certificates. Training would be done via slides (PowerPoint or other). Can Odoo do this?",1
"QuC6rc2q2mg","ODOO IT YOURSELF","odoo","Odoo","@ODOO IT YOURSELF -  Odoo allows custom UX/UI ?",1
"6kdlJrLXwRA","Waleed Maestro","odoo","Odoo","odoo 18 نفس الخطوات ؟",0
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","ERP","هل يمكن عمل نظام ERP باستخدام برنامج ال Access و برنامج ال My SQL ؟",0
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","هل ممكن تعطينا مصادر تعلم odoo و sap ?",1
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","Odoo REST Module  ظننت هو الحل للنقطة اللي ذكرتها في نهاية  الليس كذلك؟",0
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","هل ai هياثر علي مجال Odoo Developer وهستبداله او يقلل الطلبه علي المجال من وجهه نظرك حضرتك بما انك شغل في المجال ده",0
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","اشتغلت مطور odoo لمدة 3 اشهر بعدين الشركة مشتني 😂 قعدت احاول اتعلم odoo development طوال ال3 اشهر لكن كان صعب جدا بدون مصادر تعلم",12
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","كلام صحيح نسبيا ولكن: إتخاذ قرار الأنظمة المستخدمة في الشركة هو قرار إداري، مع الأخذ بعين الإعتبار الجانب التقني وليس العكس! يعتمد على أهداف الشركة البعيدة والقريبة، الميزانية، مجال الشركة وآلية عملها، السرعة في التنفيذ لمواكبة المتغيرات السريعة في المجالات التنافسية. SAP & Salesforce وغيرها من الأن",1
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","براييك باش مهندس ك هل امتلاك خبرة بمجال الodoo  تقصد  odoo devloperاقدر أعمل customize للسيستم يبقى مطلوية بسوق العمل؟",1
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","خطا يا استاذ بل يوجد في api json في نظام odoo",4
